evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10
117 -0.5830195028 0.123708 -0.213094 -0.752085 -0.127372 0.099273 0.095896 -0.329428 0.397435 0.414104 0.045000 -1.000000
118 -0.4471546978 -0.495697 0.084098 -0.284599 0.118395 -0.529973 0.097448 0.318658 -0.080042 -0.054081 -0.388823 -0.813327
119 -0.6257232457 -0.358594 0.172842 -0.365777 -0.158092 -0.118781 0.277455 -0.283236 0.397225 0.307768 -0.320029 -0.755487
120 -0.6301477051 -0.013395 -0.301839 -0.670908 0.149115 -0.311919 -0.084111 0.272465 -0.079832 0.052255 -0.023794 -1.000000
121 -0.6412360271 -0.257571 -0.182502 -0.324123 0.130447 -0.167382 0.377491 -0.118452 0.413434 0.195718 -0.419573 -1.000000
122 -0.6382078573 -0.348167 -0.017308 -0.190669 0.062054 0.028485 0.120247 -0.031442 0.069006 0.149541 -0.133540 -0.764945
123 -0.5664534052 -0.229595 -0.369967 -0.676833 -0.206064 -0.207983 0.335910 -0.527752 0.271073 -0.054466 -0.148539 -1.000000
124 -0.5672817217 -0.190252 0.244890 0.014270 0.153038 -0.357217 0.279528 0.455508 0.099980 0.297793 -0.240516 -0.829345
125 -0.7128191991 -0.386510 -0.263417 -0.116025 0.241717 -0.116053 0.288074 -0.282606 0.127857 -0.235758 -0.214539 -0.949737
126 -0.6582673794 -0.033336 0.138340 -0.546538 -0.294743 -0.449147 0.327364 0.210362 0.243197 0.479085 -0.174517 -0.985201
127 -0.4328808630 -0.404642 -0.053320 -0.797097 -0.241226 -0.567048 0.572316 -0.020395 -0.139169 -0.390184 -0.377897 -0.904380
128 -0.5535335388 -0.015204 -0.071757 0.134534 0.188200 0.001848 0.043122 -0.051849 0.510223 0.633511 -0.011158 -1.000000
129 -0.5994084458 -0.331167 -0.014857 -0.256170 -0.224486 -0.524389 0.035963 -0.019878 -0.025951 0.069192 0.027449 -0.805045
130 -0.6232617397 -0.088680 -0.110220 -0.406393 0.171460 -0.040811 0.579475 -0.052366 0.397004 0.174135 -0.416505 -1.000000
